status	portal	country	company	title	location	posted	source	url
new	LinkedIn	Argentina	TurnKey Tech Staffing	Senior Systems Administrator (with AWS)	Argentina	2026-06-15	Infrastructure Engineer	https://ar.linkedin.com/jobs/view/senior-systems-administrator-with-aws-at-turnkey-tech-staffing-4428860323
new	LinkedIn	Uruguay	Universal Soluciones Tecnológicas	Líder de Infraestructura Tecnológica	Montevideo, Montevideo, Uruguay	2026-06-10	Jefe de Infraestructura	https://uy.linkedin.com/jobs/view/l%C3%ADder-de-infraestructura-tecnol%C3%B3gica-at-universal-soluciones-tecnol%C3%B3gicas-4423139420
new	LinkedIn	Argentina	Urbetrack	DevOps Leader	Buenos Aires, Buenos Aires Province, Argentina	2026-04-08	Jefe de Infraestructura	https://ar.linkedin.com/jobs/view/devops-leader-at-urbetrack-4398640545
new	LinkedIn	Argentina	Velozient	Project Manager	Argentina	2026-06-15	Project Manager IT	https://ar.linkedin.com/jobs/view/project-manager-at-velozient-4428869893
new	LinkedIn	Argentina	Velozient	Technical Project Manager	Argentina	2026-06-15	Project Manager IT	https://ar.linkedin.com/jobs/view/technical-project-manager-at-velozient-4428833444
new	LinkedIn	Bolivia	Waverley Software	AI Product Owner (Remote)	Cochabamba, Cochabamba, Bolivia	2026-03-27	Technical Project Manager	https://bo.linkedin.com/jobs/view/ai-product-owner-remote-at-waverley-software-4390914742
new	LinkedIn	Argentina	Webflow	Senior Infrastructure Engineer	Buenos Aires Province, Argentina	2026-06-12	Site Reliability Engineer	https://ar.linkedin.com/jobs/view/senior-infrastructure-engineer-at-webflow-4428134633
new	LinkedIn	Chile	Whitestack	Cloud Integration Engineer - CL	Providencia, Santiago Metropolitan Region, Chile	2026-03-10	Infrastructure Engineer	https://cl.linkedin.com/jobs/view/cloud-integration-engineer-cl-at-whitestack-4382443910
new	LinkedIn	Uruguay	Whitestack	Cloud NOC Engineer - UY	Montevideo, Montevideo, Uruguay	2026-03-10	IT Manager	https://uy.linkedin.com/jobs/view/cloud-noc-engineer-uy-at-whitestack-4382453644
new	LinkedIn	Uruguay	Whitestack	Cloud Support Engineer - UY	Montevideo, Montevideo, Uruguay	2026-03-10	IT Manager	https://uy.linkedin.com/jobs/view/cloud-support-engineer-uy-at-whitestack-4382443943
new	LinkedIn	Chile	World Business Lenders, LLC	Cybersecurity Analyst	El Salvador, Atacama Region, Chile	2026-05-28	Security Engineer	https://cl.linkedin.com/jobs/view/cybersecurity-analyst-at-world-business-lenders-llc-4420446640
new	LinkedIn	Uruguay	WPP Production	Project Manager	Montevideo, Montevideo, Uruguay	2026-05-11	Technical Project Manager	https://uy.linkedin.com/jobs/view/project-manager-at-wpp-production-4371665027
new	LinkedIn	Argentina	Yotta Labs	GPU Cloud Platform Engineer	Argentina	2025-11-28	Site Reliability Engineer	https://ar.linkedin.com/jobs/view/gpu-cloud-platform-engineer-at-yotta-labs-4339199669
new	LinkedIn	Uruguay	Zaelab	Project Manager, CPQ	Uruguay	2026-04-27	IT Manager	https://uy.linkedin.com/jobs/view/project-manager-cpq-at-zaelab-4407455925
new	LinkedIn	Argentina	Zencore	Project Manager	Argentina	2026-06-09	Technical Project Manager	https://ar.linkedin.com/jobs/view/project-manager-at-zencore-4426319519
known	LinkedIn	Argentina	Apply Digital	Sr Project Manager	Argentina	2026-06-03	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/sr-project-manager-at-apply-digital-4422659833
known	LinkedIn	Argentina	ElectroNeek	DevOps Engineer	Argentina	2026-05-21	DevOps	https://ar.linkedin.com/jobs/view/devops-engineer-at-electroneek-4416347576
known	LinkedIn	Argentina	HRBaires	Middle DevOps Engineer	Argentina	2026-06-11	Cloud Engineer	https://ar.linkedin.com/jobs/view/middle-devops-engineer-at-hrbaires-4426672027
known	LinkedIn	Argentina	Huzzle.com	Technical Project Manager	Argentina	2026-05-28	Project Manager IT	https://ar.linkedin.com/jobs/view/technical-project-manager-at-huzzle-com-4420278475
known	LinkedIn	Argentina	Huzzle.com	Technical Project Manager	Argentina	2026-04-23	Project Manager IT	https://ar.linkedin.com/jobs/view/technical-project-manager-at-huzzle-com-4405617637
known	LinkedIn	Argentina	Novatium - Consulting & Outsourcing	Analista de Infraestructura SR - CABA	Autonomous City of Buenos Aires, Buenos Aires Province, Argentina	2026-06-10	Jefe de Infraestructura	https://ar.linkedin.com/jobs/view/analista-de-infraestructura-sr-caba-at-novatium-consulting-outsourcing-4427082779
known	LinkedIn	Argentina	OneInfo Consulting	Coordinador de Infraestructura	Buenos Aires, Buenos Aires Province, Argentina	2026-04-01	Jefe de Infraestructura	https://ar.linkedin.com/jobs/view/coordinador-de-infraestructura-at-oneinfo-consulting-4396771180
known	LinkedIn	Argentina	SLC - Recursos Humanos	Infraestructura y Gestión de Proyectos IT	Vicente López, Buenos Aires Province, Argentina	2026-05-29	Jefe de Infraestructura	https://ar.linkedin.com/jobs/view/infraestructura-y-gesti%C3%B3n-de-proyectos-it-at-slc-recursos-humanos-4417964384
known	LinkedIn	Argentina	Vicuña	Especialista IT Infraestructura	San Juan, Argentina	2026-05-29	Jefe de Infraestructura	https://ar.linkedin.com/jobs/view/especialista-it-infraestructura-at-vicu%C3%B1a-4417966947
known	Pipeline	Existing	Accenture Argentina	Cloud Administrators — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/cloud-administrators-at-accenture-argentina-4328059546
known	Pipeline	Existing	Accenture Argentina	Infrastructure Consulting Cloud — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/infrastructure-consulting-cloud-at-accenture-argentina-4328170267
known	Pipeline	Existing	Aledade	Senior Technical Program Manager (DevOps), Remote			pipeline	https://jobs.lever.co/aledade/3854c9ab-3b00-460f-9b73-5ff50ecda8df
known	Pipeline	Existing	Alignable	Engineering Manager (US Remote)			pipeline	https://jobs.lever.co/Alignable/b29041d7-3509-4817-beac-a2aef82e3b1f
known	Pipeline	Existing	Arize AI	DevOps Support Engineer (Argentina) — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/devops-support-engineer-argentina-at-arize-ai-4401389865
known	Pipeline	Existing	BC Tecnología	Senior Cloud Platform Engineer (LATAM)			pipeline	https://www.getonbrd.com/jobs/programming/senior-cloud-platform-engineer-latam-bc-tecnologia-remote
known	Pipeline	Existing	Canonical	Cloud Engineering Manager	Worldwide		pipeline	https://job-boards.greenhouse.io/canonical/jobs/4676649
known	Pipeline	Existing	Canonical	Cloud Solutions Architect - Alliances	Worldwide		pipeline	https://job-boards.greenhouse.io/canonical/jobs/5915936
known	Pipeline	Existing	Canonical	Observability Engineering Manager	Americas + EMEA		pipeline	https://job-boards.greenhouse.io/canonical/jobs/5739500
known	Pipeline	Existing	Canonical	Software Engineering Manager - Container and Virtualisation Infrastructure	Americas + EMEA		pipeline	https://job-boards.greenhouse.io/canonical/jobs/4086684
known	Pipeline	Existing	Clara	DevOps AWS Cost Optimization Specialist - Remote			pipeline	https://job-boards.greenhouse.io/clara/jobs/5035771007
known	Pipeline	Existing	Clara	Product Lead - LATAM			pipeline	https://job-boards.greenhouse.io/clara/jobs/5136291007
known	Pipeline	Existing	Clara	Product Lead (Líder de Producto) - LATAM			pipeline	https://job-boards.greenhouse.io/clara/jobs/5142970007
known	Pipeline	Existing	Clara	Senior Product Manager – LATAM (Remote)			pipeline	https://job-boards.greenhouse.io/clara/jobs/4721896007
known	Pipeline	Existing	Claro Argentina	Supervisor/a Product Owner Fintech — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/supervisor-a-product-owner-fintech-at-claro-argentina-4415135360
known	Pipeline	Existing	CloudKite	DevOps Engineer (Contract, LATAM)			pipeline	https://www.getonbrd.com/jobs/sysadmin-devops-qa/devops-engineer-contract-latam-cloudkite-remote
known	Pipeline	Existing	Cologix	Technical Program Manager - Service Delivery (Remote: USA)			pipeline	https://jobs.lever.co/cologix/5df56e43-7c56-4a6a-92cb-a43a2ba99004
known	Pipeline	Existing	CVC Corp Argentina	Cloud Engineer — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/cloud-engineer-at-cvc-corp-argentina-4416843424
known	Pipeline	Existing	GitLab	Site Reliability Engineer, Environment Automation	Remote, Canada + US		pipeline	https://job-boards.greenhouse.io/gitlab/jobs/8504232002
known	Pipeline	Existing	GSB Solutions	DevSecOps Cloud Engineer			pipeline	https://remotive.com/remote/jobs/devops/devsecops-cloud-engineer-4902750
known	Pipeline	Existing	Inngest	Distributed Systems Engineer - Platform	US/Remote		pipeline	https://jobs.ashbyhq.com/inngest/ae72d036-b98b-4abb-8454-a687870cf0ca
known	Pipeline	Existing	Luxury Presence	Technical Lead Manager - LATAM (Remote)			pipeline	https://jobs.lever.co/luxurypresence/bc170830-b83b-4f1b-8f07-012e9ef399ae
known	Pipeline	Existing	MetLife Argentina	Junior DevOps & Cloud Engineer — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/junior-devops-cloud-engineer-at-metlife-argentina-4415716230
known	Pipeline	Existing	PerfectServe	Senior Platform Engineer - US Remote			pipeline	https://job-boards.greenhouse.io/perfectserve/jobs/5868778004
known	Pipeline	Existing	Pontificia Universidad Católica Argentina	Analista de Redes — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/analista-de-redes-para-direcci%C3%B3n-de-sistemas-at-pontificia-universidad-cat%C3%B3lica-argentina-santa-mar%C3%ADa-de-los-buenos-aires-%E2%80%8B-4413165783
known	Pipeline	Existing	Pontificia Universidad Católica Argentina	Analista en Tecnologías — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/analista-en-tecnolog%C3%ADas-e-innovaci%C3%B3n-en-sistemas-bibliotecarios-at-pontificia-universidad-cat%C3%B3lica-argentina-santa-mar%C3%ADa-de-los-buenos-aires-%E2%80%8B-4409621666
known	Pipeline	Existing	Pragmatike	DevOps Engineer (Remote) — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/devops-engineer-remote-at-pragmatike-4422692690
known	Pipeline	Existing	PwC Argentina	Senior - Project Manager — LinkedIn requiere login — pegá el texto de la oferta			pipeline	https://ar.linkedin.com/jobs/view/senior-project-manager-at-pwc-argentina-4416630862
known	Pipeline	Existing	Quanata	Technical Program Manager II [Remote-US]			pipeline	https://job-boards.greenhouse.io/quanata/jobs/5994939004
known	Pipeline	Existing	Resend	Security Engineer, Platform	Americas / Remote		pipeline	https://jobs.ashbyhq.com/resend/cde17f7c-4c70-435f-be38-ef5abe94ff22
known	Pipeline	Existing	RunPod	Site Reliability Engineer	Remote, USA		pipeline	https://job-boards.greenhouse.io/runpod/jobs/5229443008
known	Pipeline	Existing	Smart Working Solutions	Senior AWS DevOps Engineer (Remote)			pipeline	https://jobs.lever.co/smart-working-solutions/0c3d8ad8-dc9e-48c1-a96f-9a8f4b8005ef
known	Pipeline	Existing	Supabase	Head of Observability	Remote		pipeline	https://jobs.ashbyhq.com/supabase/3d788231-c984-4bf7-bd8f-ca242988db4f
known	Pipeline	Existing	Supabase	Platform Engineer - Multicloud	Remote		pipeline	https://jobs.ashbyhq.com/supabase/847a7bd7-6b75-444a-aeda-d0b28a11c764
known	Pipeline	Existing	Supabase	Software Engineer: IaC Platform Experience	Remote		pipeline	https://jobs.ashbyhq.com/supabase/b7206c22-979f-444a-809b-e70d9ee23c7f
known	Pipeline	Existing	The Athletic	Staff Technical Program Manager (Remote)			pipeline	https://jobs.lever.co/theathletic/07dde37b-39e3-4786-993e-7499e7b8bd6e
known	Pipeline	Existing	Trivelta	Lead DevOps Engineer (Remote)			pipeline	https://job-boards.greenhouse.io/trivelta/jobs/4014139009
known	Pipeline	Existing	Typeform	DevSecOps Engineer	Ireland/Netherlands/UK Remote		pipeline	https://job-boards.greenhouse.io/typeform/jobs/7686285
known	Pipeline	Existing	Typeform	Senior Data Platform Engineer	Spain/Germany/Ireland/Netherlands/UK Remote		pipeline	https://job-boards.greenhouse.io/typeform/jobs/7850909
