id	url	source	notes
100	https://jobs.elastic.co/jobs?gh_jid=7747112&gh_jid=7747112	pipeline	Elastic — Senior Solutions Architect - SLED — 
101	https://jobs.elastic.co/jobs?gh_jid=7954418&gh_jid=7954418	pipeline	Elastic — Sr. Director, Field Technology and AI — 
102	https://job-boards.greenhouse.io/vtex/jobs/5889103004	pipeline	VTEX — Engineering Manager, Cloud Storage — 
103	https://job-boards.greenhouse.io/nubank/jobs/7176546	pipeline	Nubank — Design Director — 
104	https://job-boards.greenhouse.io/clara/jobs/5035771007	pipeline	Clara — DevOps AWS Cost Optimization Specialist (Especialista en Optimización de Costos de AWS) - Remote — 
105	https://job-boards.greenhouse.io/clara/jobs/5065094007	pipeline	Clara — Global Head of Legal & Regulatory (Director Global de Legal) - Mexico City (Hybrid) — 
106	https://job-boards.greenhouse.io/clara/jobs/5142970007	pipeline	Clara — Product Lead (Líder de Producto) - LATAM — 
107	https://job-boards.greenhouse.io/clara/jobs/4721896007	pipeline	Clara — Senior Product Manager (Gerente/a Senior de Producto) – LATAM (Remote) — 
108	https://bitso.com/jobs/7582505003?gh_jid=7582505003	pipeline	Bitso — Senior Engineering Manager — 
109	https://jobs.ashbyhq.com/belvo/d10ed20d-bcbb-4b2e-b8e4-29236f8c87fb	pipeline	Belvo — New Products Strategy Director — 
110	https://jobs.ashbyhq.com/kueski/0e9ded17-510f-4fc8-b5e7-2b7ed904c92f	pipeline	Kueski — Senior Director of Collections — 
111	https://jobs.lever.co/dlocal/6835bf9d-69de-43bc-8c78-112f9fac4bf5	pipeline	dLocal — US Managing Director — 
112	https://job-boards.greenhouse.io/caylent/jobs/5985807004	pipeline	Caylent — AI/ML Engineering Manager — 
113	https://job-boards.greenhouse.io/caylent/jobs/6010761004	pipeline	Caylent — Customer Solutions Architect — 
114	https://job-boards.greenhouse.io/caylent/jobs/5825816004	pipeline	Caylent — Data Practice Director — 
115	https://job-boards.greenhouse.io/caylent/jobs/5571570004	pipeline	Caylent — Director of Cloud Native Applications — 
116	https://job-boards.greenhouse.io/caylent/jobs/5722445004	pipeline	Caylent — Engineering Manager — 
117	https://job-boards.greenhouse.io/caylent/jobs/4937599004	pipeline	Caylent — Engineering Manager - Data — 
118	https://job-boards.greenhouse.io/caylent/jobs/5535506004	pipeline	Caylent — Principal Cloud Architect — 
119	https://job-boards.greenhouse.io/caylent/jobs/4382456004	pipeline	Caylent — Senior Cloud Architect - Not an Active Opening, Building Talent Pipeline — 
120	https://job-boards.greenhouse.io/clara/jobs/5142952007	pipeline	Clara — Product Lead (Líder de Producto) - LATAM — 
121	https://jobs.ashbyhq.com/supabase/f2f28afa-4b42-43c7-b977-48f5b686fba2	pipeline	Supabase — Core Product Lead — 
122	https://careers.datadoghq.com/detail/7991343/?gh_jid=7991343	pipeline	Datadog — Product Operations Manager — 
123	https://job-boards.greenhouse.io/caylent/jobs/5985808004	pipeline	Caylent — AI/ML Engineering Manager — 
124	https://job-boards.greenhouse.io/caylent/jobs/5826066004	pipeline	Caylent — Data Practice Director — 
125	https://job-boards.greenhouse.io/caylent/jobs/5525031004	pipeline	Caylent — Director of Cloud Native Applications — 
126	https://job-boards.greenhouse.io/caylent/jobs/4415216004	pipeline	Caylent — Engineering Manager - Data — 
127	https://job-boards.greenhouse.io/caylent/jobs/5535505004	pipeline	Caylent — Principal Cloud Architect — 
128	https://job-boards.greenhouse.io/nubank/jobs/7158412	pipeline	Nubank — Product Operations Manager III — 
129	https://job-boards.greenhouse.io/clara/jobs/5135800007	pipeline	Clara — Mobile Product Lead – LATAM — 
130	https://job-boards.greenhouse.io/clara/jobs/5136255007	pipeline	Clara — Product Lead, Invoice Automation — 
131	https://job-boards.greenhouse.io/clara/jobs/5142956007	pipeline	Clara — Product Lead (Líder de Producto) - LATAM — 
132	https://job-boards.greenhouse.io/clara/jobs/5153328007	pipeline	Clara — Product Lead - Risk — 
133	https://job-boards.greenhouse.io/hightouch/jobs/6020299004	pipeline	Hightouch — Engineering Manager, Agents — 
134	https://job-boards.greenhouse.io/hightouch/jobs/6020373004	pipeline	Hightouch — Engineering Manager, Customer Studios — 
135	https://job-boards.greenhouse.io/gitlab/jobs/8551473002	pipeline	GitLab — Senior Solutions Architect — 
136	https://job-boards.greenhouse.io/gitlab/jobs/8551474002	pipeline	GitLab — Solutions Architect — 
137	https://boards.greenhouse.io/cloudflare/jobs/7462799?gh_jid=7462799	pipeline	Cloudflare — Distributed Systems Engineer, Analytical Database Platform — 
138	https://boards.greenhouse.io/cloudflare/jobs/7462803?gh_jid=7462803	pipeline	Cloudflare — Distributed Systems Engineer - Data Platform - Analytics and Alerts — 
139	https://boards.greenhouse.io/cloudflare/jobs/7462801?gh_jid=7462801	pipeline	Cloudflare — Distributed Systems Engineer - Data Platform (Delivery, Database, Retrieval) — 
140	https://boards.greenhouse.io/cloudflare/jobs/7462802?gh_jid=7462802	pipeline	Cloudflare — Distributed Systems Engineer - Data Platform - Logs and Audit Logs — 
141	https://jobs.elastic.co/jobs?gh_jid=8001435&gh_jid=8001435	pipeline	Elastic — Technical Instructor — 
142	https://careers.datadoghq.com/detail/7967871/?gh_jid=7967871	pipeline	Datadog — Partner Solutions Architect (Brazil) — 
143	https://careers.datadoghq.com/detail/7977644/?gh_jid=7977644	pipeline	Datadog — Partner Solutions Architect (Mexico) — 
144	https://careers.datadoghq.com/detail/7997198/?gh_jid=7997198	pipeline	Datadog — Partner Solutions Architect (Pan-EMEA GSI) — 
145	https://careers.datadoghq.com/detail/8001760/?gh_jid=8001760	pipeline	Datadog — Senior Software Engineer - Observability Visibility — 
146	https://job-boards.greenhouse.io/caylent/jobs/5985809004	pipeline	Caylent — AI/ML Engineering Manager — 
147	https://job-boards.greenhouse.io/caylent/jobs/5826045004	pipeline	Caylent — Data Practice Director — 
148	https://job-boards.greenhouse.io/caylent/jobs/5571576004	pipeline	Caylent — Director of Cloud Native Applications — 
149	https://job-boards.greenhouse.io/stone/jobs/7766455003	pipeline	Stone — [Local Schemes] Software Engineering Manager I — 
150	https://job-boards.greenhouse.io/stone/jobs/7764765003	pipeline	Stone — [Tribo da Controladoria] Software Engineering Manager I — 
151	https://job-boards.greenhouse.io/clara/jobs/5136291007	pipeline	Clara — Product Lead (Líder de Producto) - LATAM — 
152	https://jobs.ashbyhq.com/belvo/daf0758c-5ca4-4255-9ef4-79e7a03249c0	pipeline	Belvo — Senior Engineering Manager Payments — 
